id,date_achieved,stage,difficulty,stage_time,system,video_id,comments
162,1/6/20,Statue,Secret Agent,0:02:41,NTSC-J,_CRICMfPb9A,
163,1/6/20,Streets,Secret Agent,0:02:02,NTSC-J,leaSU40WI7g,
164,1/6/20,Frigate,Agent,0:00:42,NTSC-J,6ClltzJ4tJs,
165,1/6/20,Frigate,Agent,0:00:35,NTSC,LgLZoJ92nQY,
166,1/6/20,Surface 2,Agent,0:01:00,NTSC,am5-HLLxwBc,
167,1/6/20,Surface 2,Agent,0:00:59,NTSC-J,ccXuuNWubZQ,
168,1/6/20,Bunker 2,Agent,0:00:57,NTSC-J,03yvyrPZaqc,
169,1/6/20,Bunker 2,Agent,0:00:46,NTSC-J,KVHK0VGMIxI,
170,1/6/20,Bunker 2,Agent,0:00:41,NTSC-J,n7J2C6kWrHw,
171,1/6/20,Bunker 2,Agent,0:00:39,NTSC-J,1rMPgkDH4Zo,
172,1/6/20,Bunker 1,Agent,0:00:22,NTSC-J,trwiUQzEgVo,
173,1/6/20,Depot,Agent,0:00:33,NTSC-J,GxgZc0FVLR8,
174,1/6/20,Silo,Agent,0:02:17,NTSC-J,U4r0F-WAsVE,
175,2/14/20,Streets,00 Agent,0:02:04,NTSC,RuQb6WzoLuE,Happy Valentine's Day!
176,3/6/20,Runway,Agent,0:00:24,NTSC,eeGM71sIxjc,"Never seen a 25, and I never will!

3 boosts total, but there were some mistakes. I think I can get 23 soon."
177,3/29/20,Dam,Agent,0:00:55,NTSC-J,_lg_Pr-5Txo,"I thought I messed up the lock shot, and broke strafe"
178,3/29/20,Archives,Agent,0:00:27,NTSC-J,PKU4Rl76n08,
179,3/29/20,Archives,Agent,0:00:25,NTSC-J,L9-E9l78F-w,
180,3/29/20,Bunker 1,Agent,0:00:20,NTSC-J,8mJ0eg8SSEY,
181,3/29/20,Caverns,Agent,0:01:15,NTSC-J,esQP0vi3xyo,
182,3/29/20,Caverns,Agent,0:01:12,NTSC-J,NKaJXWVnL-E,
183,3/29/20,Caverns,Agent,0:01:11,NTSC-J,hxXcCCGho74,
184,3/29/20,Caverns,Agent,0:01:10,NTSC-J,SmDtbdBnk1w,
185,3/29/20,Depot,Agent,0:00:32,NTSC-J,4lVJIG34TKI,
186,3/29/20,Depot,Agent,0:00:30,NTSC-J,2ij0om1wyI8,
